feature_name,included_in_model,removed_reason
session_delta_mean_idea_quality_Integration_Practices,False,missing_data
session_mean_pct_high_quality_Integration_Practices,True,
session_beginning_pct_high_quality_Integration_Practices,False,missing_data
session_middle_pct_high_quality_Integration_Practices,True,
session_end_pct_high_quality_Integration_Practices,False,missing_data
session_delta_pct_high_quality_Integration_Practices,False,missing_data
session_mean_mean_idea_quality_Knowledge_Sharing,True,
session_beginning_mean_idea_quality_Knowledge_Sharing,True,
session_middle_mean_idea_quality_Knowledge_Sharing,True,
session_end_mean_idea_quality_Knowledge_Sharing,False,missing_data
session_delta_mean_idea_quality_Knowledge_Sharing,False,missing_data
session_mean_pct_high_quality_Knowledge_Sharing,True,
session_beginning_pct_high_quality_Knowledge_Sharing,True,
session_middle_pct_high_quality_Knowledge_Sharing,True,
session_end_pct_high_quality_Knowledge_Sharing,False,missing_data
session_delta_pct_high_quality_Knowledge_Sharing,False,missing_data
session_mean_building_count,True,
session_beginning_building_count,True,
session_middle_building_count,True,
session_end_building_count,True,
session_delta_building_count,True,
session_mean_blocking_count,True,
session_beginning_blocking_count,True,
session_middle_blocking_count,True,
session_end_blocking_count,True,
session_delta_blocking_count,True,
session_mean_building_blocking_ratio,True,
session_beginning_building_blocking_ratio,True,
session_middle_building_blocking_ratio,True,
session_end_building_blocking_ratio,True,
session_delta_building_blocking_ratio,True,
session_mean_pct_building,True,
session_beginning_pct_building,True,
session_middle_pct_building,True,
session_end_pct_building,True,
session_delta_pct_building,True,
session_mean_num_future_oriented,True,
session_beginning_num_future_oriented,True,
session_middle_num_future_oriented,True,
session_end_num_future_oriented,True,
session_delta_num_future_oriented,True,
session_mean_num_named_next_steps,True,
session_beginning_num_named_next_steps,True,
session_middle_num_named_next_steps,True,
session_end_num_named_next_steps,True,
session_delta_num_named_next_steps,True,
session_mean_num_epistemic_bridging,True,
session_beginning_num_epistemic_bridging,True,
session_middle_num_epistemic_bridging,True,
session_end_num_epistemic_bridging,True,
session_delta_num_epistemic_bridging,True,
session_mean_num_idea_attribution,True,
session_beginning_num_idea_attribution,True,
session_middle_num_idea_attribution,True,
session_end_num_idea_attribution,True,
session_delta_num_idea_attribution,True,
session_mean_num_complementarity,True,
session_beginning_num_complementarity,True,
session_middle_num_complementarity,True,
session_end_num_complementarity,True,
session_delta_num_complementarity,True,
session_mean_num_role_anticipation,True,
session_beginning_num_role_anticipation,True,
session_middle_num_role_anticipation,True,
session_end_num_role_anticipation,True,
session_delta_num_role_anticipation,True,
session_mean_num_broader_significance,True,
session_beginning_num_broader_significance,True,
session_middle_num_broader_significance,True,
session_end_num_broader_significance,True,
session_delta_num_broader_significance,True,
session_mean_num_novelty_signals,True,
session_beginning_num_novelty_signals,True,
session_middle_num_novelty_signals,True,
session_end_num_novelty_signals,True,
session_delta_num_novelty_signals,True,
session_mean_num_scope_calibration,True,
session_beginning_num_scope_calibration,True,
session_middle_num_scope_calibration,True,
session_end_num_scope_calibration,True,
session_delta_num_scope_calibration,True,
session_mean_num_setback_explores,True,
session_beginning_num_setback_explores,True,
session_middle_num_setback_explores,True,
session_end_num_setback_explores,True,
session_delta_num_setback_explores,True,
session_mean_num_setback_defends,True,
session_beginning_num_setback_defends,True,
session_middle_num_setback_defends,True,
session_end_num_setback_defends,True,
session_delta_num_setback_defends,True,
session_mean_explore_vs_defend_ratio,True,
session_beginning_explore_vs_defend_ratio,True,
session_middle_explore_vs_defend_ratio,True,
session_end_explore_vs_defend_ratio,True,
session_delta_explore_vs_defend_ratio,True,
session_mean_num_joint_framing,True,
session_beginning_num_joint_framing,True,
session_middle_num_joint_framing,True,
session_end_num_joint_framing,True,
session_delta_num_joint_framing,True,
session_mean_num_individual_framing,True,
session_beginning_num_individual_framing,True,
session_middle_num_individual_framing,True,
session_end_num_individual_framing,True,
session_delta_num_individual_framing,True,
session_mean_pct_joint_framing,True,
session_beginning_pct_joint_framing,True,
session_middle_pct_joint_framing,True,
session_end_pct_joint_framing,True,
session_delta_pct_joint_framing,True,
session_mean_total_quality_score,True,
session_beginning_total_quality_score,True,
session_middle_total_quality_score,True,
session_end_total_quality_score,True,
session_delta_total_quality_score,True,
session_mean_mean_quality_score,True,
session_beginning_mean_quality_score,True,
session_middle_mean_quality_score,True,
session_end_mean_quality_score,False,missing_data
session_delta_mean_quality_score,False,missing_data
session_mean_pct_high_quality,True,
session_beginning_pct_high_quality,True,
session_middle_pct_high_quality,True,
session_end_pct_high_quality,False,missing_data
session_delta_pct_high_quality,False,missing_data
session_mean_num_collaborative_completions,True,
session_beginning_num_collaborative_completions,True,
session_middle_num_collaborative_completions,True,
session_end_num_collaborative_completions,True,
session_delta_num_collaborative_completions,True,
session_mean_num_elaborative_jumps,True,
session_beginning_num_elaborative_jumps,True,
session_middle_num_elaborative_jumps,True,
session_end_num_elaborative_jumps,True,
session_delta_num_elaborative_jumps,True,
session_mean_num_competitive_interruptions,True,
session_beginning_num_competitive_interruptions,True,
session_middle_num_competitive_interruptions,True,
session_end_num_competitive_interruptions,True,
session_delta_num_competitive_interruptions,True,
session_mean_interruption_quality_ratio,True,
session_beginning_interruption_quality_ratio,True,
session_middle_interruption_quality_ratio,True,
session_end_interruption_quality_ratio,True,
session_delta_interruption_quality_ratio,True,
session_mean_pct_turns_distraction,True,
session_beginning_pct_turns_distraction,True,
session_middle_pct_turns_distraction,True,
session_end_pct_turns_distraction,True,
session_delta_pct_turns_distraction,True,
session_mean_mean_distracted_count,True,
session_beginning_mean_distracted_count,True,
session_middle_mean_distracted_count,True,
session_end_mean_distracted_count,True,
session_delta_mean_distracted_count,True,
session_mean_mean_nod_rate,True,
session_beginning_mean_nod_rate,True,
session_middle_mean_nod_rate,True,
session_end_mean_nod_rate,True,
session_delta_mean_nod_rate,True,
session_mean_pct_turns_shared_affect,True,
session_beginning_pct_turns_shared_affect,True,
session_middle_pct_turns_shared_affect,True,
session_end_pct_turns_shared_affect,True,
session_delta_pct_turns_shared_affect,True,
session_mean_pct_turns_any_smile,True,
session_beginning_pct_turns_any_smile,True,
session_middle_pct_turns_any_smile,True,
session_end_pct_turns_any_smile,True,
session_delta_pct_turns_any_smile,True,
session_mean_pct_turns_audible_backchannel,True,
session_beginning_pct_turns_audible_backchannel,True,
session_middle_pct_turns_audible_backchannel,True,
session_end_pct_turns_audible_backchannel,True,
session_delta_pct_turns_audible_backchannel,True,
session_mean_mean_vocal_enthusiasm,True,
session_beginning_mean_vocal_enthusiasm,True,
session_middle_mean_vocal_enthusiasm,True,
session_end_mean_vocal_enthusiasm,True,
session_delta_mean_vocal_enthusiasm,True,
session_mean_pct_high_enthusiasm,True,
session_beginning_pct_high_enthusiasm,True,
session_middle_pct_high_enthusiasm,True,
session_end_pct_high_enthusiasm,True,
session_delta_pct_high_enthusiasm,True,
session_mean_pct_hesitation,True,
session_beginning_pct_hesitation,True,
session_middle_pct_hesitation,True,
session_end_pct_hesitation,True,
session_delta_pct_hesitation,True,
session_mean_responsiveness_index,True,
session_beginning_responsiveness_index,True,
session_middle_responsiveness_index,True,
session_end_responsiveness_index,True,
session_delta_responsiveness_index,True,
convergence_ratio_end,True,
divergent_ratio_beg,True,
diverge_converge_arc,True,
any_commitment_signal,True,
earliest_commitment_chunk,True,
commitment_timing_normalized,False,missing_data
engagement_trajectory,True,
early_bridging,True,
gini_trajectory,True,
problem_specificity_final,False,missing_data
problem_specificity_delta,False,missing_data
decision_crystallization_final,True,
decision_crystallization_delta,True,
max_ambition_level,True,
any_novel_combination,True,
any_complementarity_recognized,True,
any_skill_gap_identified,True,
any_shared_vision,True,
pronoun_shift_occurred,True,
pronoun_shift_timing,True,
joint_framing_trajectory,True,
building_blocking_ratio_session,True,
pct_building_session,True,
pct_dissent_exploratory,True,
mean_dissent_response_quality,True,
psych_safety_index,True,
explore_vs_defend_ratio_session,True,
any_personal_disclosure,True,
pct_chunks_appreciative_laughter,True,
pct_chunks_any_laughter,True,
any_risk_enthusiasm,True,
energy_matching_index,True,
parallel_monologue_index,True,
named_next_steps_count,True,
any_funding_awareness,True,
prior_relationship_present,True,
any_broader_significance,True,
mean_meeting_structure_quality,True,
meeting_structure_final,True,
no_convergence_flag,True,
no_commitment_signal,True,
no_complementarity_recognition,True,
unresolved_tension_flag,True,
