session,position,utterance_id,speaker,timestamp,text,gemini_code,links_to,how_resolved,links_to_name
MND_S5,1,72,Faranak Fattahi,03:30-04:28,are we in the phase where we should be screening for a larger set of molecules or metabolites or factors that could be coming from the microbiome.,proposes_new_idea,— (new idea),,
MND_S5,2,86,Erin Longbrake,08:46-09:39,"So to go back to Faranak's question, like what would be a model system to figure out if and how bacteria microbes impact let's just stick with the gut epithelial barrier this seems like an iterative screening process where you have a model system and you iteratively just screen","synthesizes_contributions, proposes_new_idea",#72 (Faranak Fattahi),explanation named the person,Faranak Fattahi
MND_S5,3,146,Rosa Krajmalnik-Brown,01:00-01:30,maybe we can also add a bullet point of there are some lower throughput screening methods,extends_existing_idea,#86 (Erin Longbrake),matched an idea on the table,
MND_S5,4,167,Iliyan Iliev,07:45-07:48,"But because you had the results of the open label, right? That wouldn't have happened without the results",critiques_or_challenges,#146 (Rosa Krajmalnik-Brown),explanation named the person,Rosa Krajmalnik-Brown
MND_S5,5,169,Iliyan Iliev,08:09-08:22,And also like the institution will not like that because there is no... anything that you bring to the institution,raises_concern,#167 (Iliyan Iliev),fallback — most recent prior idea,
MND_S5,6,183,Rosa Krajmalnik-Brown,00:27-00:49,"I think, um, we mentioned fungi at some point, and I don't I don't see it anywhere.",returns_to_earlier_idea,#169 (Iliyan Iliev),fallback — most recent prior idea,
MND_S5,7,190,Erin Longbrake,01:28-01:44,They don't like funding anything that's risky and there's a bias towards hypothesis... So who's going to fund the observations?,critiques_or_challenges,#183 (Rosa Krajmalnik-Brown),fallback — most recent prior idea,
MND_S5,8,192,Erin Longbrake,01:48-02:09,"there's a fair amount of, um, snobbery when it comes to being NIH funded versus not NIH funded.",critiques_or_challenges,#190 (Erin Longbrake),fallback — most recent prior idea,
CMC_S11,1,63,Gulcin Pekkurnaz,00:00-00:30,what is self? then can we say one cell is self? But or one when we talk about multicellular unit that whole unit is a self,proposes_new_idea,— (new idea),,
CMC_S11,2,69,Davide Donadio,00:58-01:34,if we can think of ways of porting non-equilibrium molecular dynamics methods... to the mesoscale porting non-equilibrium molecular dynamics methods... to probe self-organization at the cellular relevant scales,"proposes_new_idea, connects_methods",#63 (Gulcin Pekkurnaz),fallback — most recent prior idea,
CMC_S11,3,130,Rigoberto Hernandez,03:18-04:53,"how big does a system have to be to have this sort of self-organization... to create signals based on its collective behavior rather than on individual agents for Gulcin's favorite question, what is self, you know, in order to know self, how big is it when there'll be enough signal to be able to recognize itself Does size matter? Simple question.","synthesizes_contributions, frames_shared_problem, proposes_new_idea",#69 (Davide Donadio),matched an idea on the table,
CMC_S11,4,131,Joshua Weinstein,04:54-06:10,"you could define it across different time scales... any length scale or time scale on which determinism arises from what would otherwise be rare events, you should be able to have self-organization.",extends_existing_idea,#130 (Rigoberto Hernandez),explanation named the person,Rigoberto Hernandez
CMC_S11,5,132,Davide Donadio,06:11-06:21,I'm surprised about the thought of anything deterministic. I'm always thinking that everything is stochastic. I don't believe in determinism.,critiques_or_challenges,#131 (Joshua Weinstein),explanation named the person,Joshua Weinstein
CMC_S11,6,134,Rigoberto Hernandez,06:46-07:18,"There was a deterministic driving force, but yet it's stochastic... there's a property you could predict was going to happen, which is kind of deterministic. So maybe it's not purely stochastic. The embryo is formed, the embryo becomes an animal... it's stochastic because it could be a different embryo. But there's a property you could predict","resolves_contradiction, synthesizes_contributions",#132 (Davide Donadio),explanation named the person,Davide Donadio
CMC_S11,7,171,Wenjing Wang,03:21-03:28,So we talk about the deterministic and stochastic,returns_to_earlier_idea,#134 (Rigoberto Hernandez),matched an idea on the table,
NES_S8,1,77,Jose Mendoza,01:14-03:46,I was thinking on phase diagrams right so all these diagrams that it's like the wave function of all these compounds,proposes_new_idea,— (new idea),,
NES_S8,2,95,Kelsey Hatzell,06:11-07:38,I need a model to interpret my data... that's a whole another body of work,raises_concern,#77 (Jose Mendoza),matched an idea on the table,
NES_S8,3,97,Shu Hu,07:40-08:17,maybe we also need to look at the time-resolved PDF you are going to see an average effect which actually wash out all the features,"extends_existing_idea, raises_concern",#77 (Jose Mendoza),matched an idea on the table,
NES_S8,4,98,Emily Carter,08:18-08:25,it's going to require the FEL presumably,extends_existing_idea,#97 (Shu Hu),fallback — most recent prior idea,
NES_S8,5,100,Linsey Seitz,08:30-09:33,I had actually originally wanted to respond to Eva's first question what if we specifically co-evolved peroxide and CO2 reduction products,"returns_to_earlier_idea, proposes_new_idea",#98 (Emily Carter),fallback — most recent prior idea,
NES_S8,6,101,Emily Carter,09:34-10:00,we often talk about selectivity as being the gold standard but in fact there are...,extends_existing_idea,#100 (Linsey Seitz),fallback — most recent prior idea,
ABI_S1,1,26,Carolyn Bayer,08:27-08:47,"It strikes me that that's a common strategy, right? Sacrificing spatial resolution to improve temporal resolution.",synthesizes_contributions,— (new idea),,
ABI_S1,2,27,Brian Pogue,08:50-09:03,"And can you have both? Can you have high spatial, high temporal?",synthesizes_contributions,#26 (Carolyn Bayer),matched an idea on the table,
ABI_S1,3,34,Brian Pogue,01:08-01:25,"in the microscopy world, this is where it's done a lot",extends_existing_idea,#27 (Brian Pogue),matched an idea on the table,
ABI_S1,4,37,Katharine White,03:17-04:15,I would have no idea in terms of that,raises_concern,#34 (Brian Pogue),fallback — most recent prior idea,
ABI_S1,5,41,Katharine White,04:39-05:37,how well those work off the shelf can vary quite significantly,critiques_or_challenges,#37 (Katharine White),fallback — most recent prior idea,
MND_S15,1,75,Ying-Hui Chou,08:01-08:04,"Like traumatic brain injury, that could be a stress.",proposes_new_idea,— (new idea),,
MND_S15,2,80,Abhishek Shrivastava,09:42-09:57,changes in oxygen are definitely one type of stress,extends_existing_idea,#75 (Ying-Hui Chou),matched an idea on the table,
MND_S15,3,118,Lisa Ryno,03:25-04:26,how would you interface that with one of these organoid models,combines_ideas,#80 (Abhishek Shrivastava),matched an idea on the table,
MND_S15,4,119,Abhishek Shrivastava,04:26-05:41,"what if the more prominent phyla was not Bacteroidetes, what if it was Proteobacteria... that could easily be genetically modified",extends_existing_idea,#118 (Lisa Ryno),explanation named the person,Lisa Ryno
MND_S15,5,125,Carolina Tropini,00:00-00:14,I think it's key to find the right model for the question that is asked.,synthesizes_contributions,#119 (Abhishek Shrivastava),matched an idea on the table,
SLU_S5,1,27,Maggie Osburn,08:09-09:34,one of the biggest battles we fight is sort of the abiotic system mimicking the biological system in terms of the isotopic fractionations,frames_shared_problem,— (new idea),,
SLU_S5,2,32,Amanda Stockton,00:34-01:28,connectivity and patterns of connectivity that leads to molecules and then perhaps to spatial distributions,extends_existing_idea,#27 (Maggie Osburn),matched an idea on the table,
SLU_S5,3,90,Jay Forsythe,00:00-03:32,I think it'll be really difficult to assign... when you have these really complex mixtures,raises_concern,#32 (Amanda Stockton),matched an idea on the table,
SLU_S5,4,91,Andro Rios,03:33-04:55,there are small reactive organic compounds in the absence of life would just degrade very quickly... that would be very exciting to expand with that to everybody else as well is that... there are other small organic molecules,"proposes_new_idea, extends_existing_idea",#90 (Jay Forsythe),explanation named the person,Jay Forsythe
SLU_S5,5,94,Ziming Yang,05:46-06:12,I think that's really challenging for remote sensing.,raises_concern,#91 (Andro Rios),fallback — most recent prior idea,
